ORIGINAL	SUPPLEMENT	YR	RPTID	TR_SUP_ID	NAME	OPERATOR_ID	OFCITY	OFCOUNTY	OFSTATE	OFSTREET	OFZIP	HQCITY	HQCOUNTY	HQSTATE	HQSTREET	HQZIP	STOP	B1GOFF_1	B1GOFF_2	B1GOFF_3	B1GOFF_4	B1GOFF_5	B1GOFF_6	B1GOFF_7	B1GOFF_T	B1GON_1	B1GON_2	B1GON_3	B1GON_4	B1GON_5	B1GON_6	B1GON_7	B1GON_T	B1TOFF_1	B1TOFF_2	B1TOFF_3	B1TOFF_4	B1TOFF_5	B1TOFF_6	B1TOFF_7	B1TOFF_T	B1TON_1	B1TON_2	B1TON_3	B1TON_4	B1TON_5	B1TON_6	B1TON_7	B1TON_T	B1TOTAL_1	B1TOTAL_2	B1TOTAL_3	B1TOTAL_4	B1TOTAL_5	B1TOTAL_6	B1TOTAL_7	B1TOTAL_T	B2GOFF_1	B2GOFF_2	B2GOFF_3	B2GOFF_4	B2GOFF_5	B2GOFF_6	B2GOFF_T	B2GON_1	B2GON_2	B2GON_3	B2GON_4	B2GON_5	B2GON_6	B2GON_T	B2TOFF_1	B2TOFF_2	B2TOFF_3	B2TOFF_4	B2TOFF_5	B2TOFF_6	B2TOFF_T	B2TON_1	B2TON_2	B2TON_3	B2TON_4	B2TON_5	B2TON_6	B2TON_T	B2TOTAL_1	B2TOTAL_2	B2TOTAL_3	B2TOTAL_4	B2TOTAL_5	B2TOTAL_6	B2TOTAL_T	B3GOFF_1	B3GOFF_2	B3GOFF_3	B3GOFF_4	B3GOFF_5	B3GOFF_6	B3GOFF_7	B3GOFF_8	B3GOFF_9	B3GOFF_T	B3GON_1	B3GON_2	B3GON_3	B3GON_4	B3GON_5	B3GON_6	B3GON_7	B3GON_8	B3GON_9	B3GON_T	B3TOFF_1	B3TOFF_2	B3TOFF_3	B3TOFF_4	B3TOFF_5	B3TOFF_6	B3TOFF_7	B3TOFF_8	B3TOFF_9	B3TOFF_T	B3TON_1	B3TON_2	B3TON_3	B3TON_4	B3TON_5	B3TON_6	B3TON_7	B3TON_8	B3TON_9	B3TON_T	B3TOTAL_1	B3TOTAL_2	B3TOTAL_3	B3TOTAL_4	B3TOTAL_5	B3TOTAL_6	B3TOTAL_7	B3TOTAL_8	B3TOTAL_9	B3TOTAL_T	B4GOFF	B4TOFF	B4GON_1	B4GON_2	B4GON_3	B4GON_4	B4GON_T	B4TON_1	B4TON_2	B4TON_3	B4TON_4	B4TON_T	B4TOTAL_1	B4TOTAL_2	B4TOTAL_3	B4TOTAL_4	B4TOTAL_T	CGC1	CGC2	CGE1	CGE2	CGEO1	CGEO2	CGMW1	CGMW2	CGNF1	CGNF2	CGO1	CGO2	CGOOF1	CGOOF2	CTC1	CTC2	CTE1	CTE2	CTEO1	CTEO2	CTMW1	CTMW2	CTNF1	CTNF2	CTO1	CTO2	CTOOF1	CTOOF2	DGOFF	DGON	DGOUT	DTOFF	DTON	DTOUT	KNLKG	KNLKT	DOR	DOE	PNAME	PHONE	PEMAIL	PFAX
Y	N	2005	20060243	7483	DUKE ENERGY FIELD SERVICES	31130	DENVER	DENVER	CO	"370 17TH STREET, SUITE 2500"	80202						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	154	0	154	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	154	0	0	0	154	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	154	0	0	154	0	0	0	0	0	0	154	0	0	0	0	0	0	0	154	0	0	0	154	154	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/15/2006	2/15/2006	DAVID BOHN	3036051992	DRBOHN@DUKE-ENERGY.COM	3036052235
Y	N	2005	20060412	7666	PG ENERGY (A DIVISION OF SOUTHERN UNION COMPANY)	15259	WILKES-BARRE	LUZERNE	PA	ONE PEI CENTER	18711						PA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	29	0	29	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	29	0	0	0	29	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	12	8	29	0	0	0	0	9	0	0	12	8	29	0	0	0	0	0	0	0	21	0	8	0	29	21	0	8	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/1/2006	3/1/2006	ANTHONY M. DECESARIS	5708298870	DECESARIS@PGENERGY.COM	5708298692
Y	N	2005	20060413	7667	B.D. DEANS LLC	32059	MOUNT PLEASANT	ISABELLA	MI	600 WEST PICKARD STREET	48854						MI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	5	0	0	0	5	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/7/2006	3/1/2006	RANDALL L. SCHROEDER - CONSULTANT	5176768063	SRESOURCES@CORE.COM	5176761033
Y	N	2005	20060086	7308	PROGRESS ENERGY ASHEVILLE COMBUSTION TURBINE PLANT	31866	ARDEN	BUNCOMBE	NC	300 CP&L DRIVE	28704	RALEIGH		NC	P.O. BOX 1551	27602	NC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1/19/2006	1/19/2006	ROBERT MILLER	7044878516	ROBERT@HEATHWEB.COM	7044878615
Y	N	2005	20060101	7324	"OMIMEX ENERGY, INC."	848	LUDINGTON	MASON	MI	4854 ANGLING ROAD	49431	FORT WORTH	TARRANT	TX	2001 BEACH ST STE 810	76103	MI	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	54	0	0	0	0	0	0	0	0	9	45	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	45	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	11	0	13	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	11	0	13	54	0	0	54	0	0	0	54	0	0	0	0	0	54	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/23/2006	1/23/2006	CLARK P. STORMS	8177351500	CLARK_STORMS@OMIMEXGROUP.COM	8177358033
Y	N	2005	20060259	7499	ENTERPRISE PRODUCTS OPERATING L.P.	31618	HOUSTON	HARRIS	TX	2727 NORTH LOOP WEST	77008 1037	HOUSTON	HARRIS	TX	2727 NORTH LOOP WEST	77008 1037	CO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/16/2006	2/16/2006	JOEL E. KOHLER	2256752507	JKOHLER@EPROD.COM	2256758847
Y	N	2005	20060260	7500	THUMS LONG BEACH CO.	19410	LONG BEACH	LOS ANGELES	CA	"111 WEST OCEAN BLVD., SUITE 800"	90802						CA	0	10.1	0	0	0	0	0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	2.1	0	4.12	0	12.12	0	0	0	2.1	0	14.22	0	0	4.6	5.5	0	0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12	0	0	4.12	0	0	4.6	9.62	0	0	14.22	0	0	0	0	8.6	0	0	1.5	0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	2.6	0.27	4.12	0	0	0	0	9.85	0	0	4.1	0.27	14.22	10.1	0	0	0	0	0	0	2.37	0	1.75	0	4.12	12.47	0	1.75	0	14.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/16/2006	2/16/2006	NAM BAEK	5626243120	NAM_H._BAEK@OXY.COM	5626243224
Y	N	2005	20060427	7682	BASS ENTERPRISES PRODUCTION CO.	30073	EL CAMPO	TARRENT	TX	117 TURA ST.	77437	FORT WORTH	DENTON	TX	"201 MAIN STREET, SUITE 2700"	76102	TX	0	3	0	0	0	0	0	3	0	23	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	26	0	3	0	0	0	0	3	0	4	19	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	26	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	22	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	26	3	0	23	0	0	0	23	0	0	0	0	0	26	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/15/2006	3/1/2006	"C.D. JOHNSON, PRODUCTION FOREMAN"	9795436226	CJOHNSON@BASS-NET.COM	9795436226
Y	N	2005	20060430	7685	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	2196	POUGHKEEPSIE	DUTCHESS	NY	284 SOUTH AVENUE	12601						NY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	164	0	164	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	48	0	0	164	0	0	116	48	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	55	5	2	25	0	164	0	0	0	77	55	5	2	25	0	164	0	0	0	0	0	0	0	37	55	72	0	164	37	55	72	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/1/2006	3/1/2006	DAVID W. MERTE	8454865521	DMERTE@CENHUD.COM	8454865697
Y	N	2005	20060106	7329	KERN RIVER GAS TRANSMISSION COMPANY	844	SALT LAKE CITY	SALT LAKE	UT	"2755 EAST COTTONWOOD PARKWAY, SUITE 300"	84121						CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.1	0	0	0	0	0	238.1	0	238.1	0	0	0	0	0	238.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.689	206.411	238.1	0	0	0	0	31.689	206.411	238.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.515	135.585	238.1	0	0	0	0	0	0	0	102.515	135.585	238.1	0	0	0	0	0	0	0	238.1	0	0	0	238.1	238.1	0	0	0	238.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/23/2006	1/23/2006	VON MCALLISTER	8019376333	VON.MCALLISTER@KERNRIVERGAS.COM	8019376330
