ORIGINAL	SUPPLEMENT	YR	RPTID	HL_SUP_ID	SYSTEM_TYPE	OPERATOR_ID	NAME	PARENT	OFSTREET	OFCITY	OFCOUNTY	OFSTATE	OFZIP	HQSTREET	HQCITY	HQCOUNTY	HQSTATE	HQZIP	CPBMT	CPBOFFM	CPBONM	CPCMT	CPCOFFM	CPCONM	CUBOFFM	CUBONM	CUCMT	CUCOFFM	CUCONM	CUPMT	HCAMT	HCAOFFM	HCAONM	STOFFM_1	STOFFM_2	STOFFM_3	STOFFM_4	STOFFM_5	STOFFM_6	STOFFM_7	STOFFM_8	STOFFM_9	STOFFM_10	STOFFM_11	STOFFM_12	STOFFM_13	STOFFM_14	STOFFM_15	STOFFM_16	STOFFM_17	STOFFM_18	STONM_1	STONM_2	STONM_3	STONM_4	STONM_5	STONM_6	STONM_7	STONM_8	STONM_9	STONM_10	STONM_11	STONM_12	STONM_13	STONM_14	STONM_15	STONM_16	STONM_17	STONM_18	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTM_10	DINSTMT	ERWHM_1	ERWHM_2	ERWHM_3	ERWHM_4	ERWHM_5	ERWHM_6	ERWHM_7	ERWHM_8	ERWHMT	ERWLM_1	ERWLM_2	ERWLM_3	ERWLM_4	ERWLM_5	ERWLM_6	ERWLM_7	ERWLM_8	ERWLMT	ERWTM_1	ERWTM_2	ERWTM_3	ERWTM_4	ERWTM_5	ERWTM_6	ERWTM_7	ERWTM_8	ERWTMT	YSGOFFM	YSGONM	YSLOFFM	YSLONM	BTNPMS	REGGATHM	BT1COM	BT1NUM1	BT1NUM2	BT1NUM3	BT1NUM4	BT1NUMT	BT2COM	BT2NUM1	BT2NUM2	BT2NUM3	BT2NUM4	BT2NUMT	VTM_1	VTM_2	VTM_3	VTM_4	VTM_5	VTM_6	II1_1	II1_2	II1_3	II1_4	II1_T	II2_1	II2_2	II2_3	II2_4	II2_5	II3_1	II3_2	II3_3	II3_4	II4_1	II4_2	II4_3	II4_4	II4_5	II5_1	II5_2	BA_1	BA_2	BA_3	BA_4	BA_5	BA_6	BA_7	BA_8	DOR	DOE	PNAME	PPHONE	PEMAIL	PFAX
Y	N	2004	20040424	491	HVLS	32095	LBC HOUSTON LP		11666 PORT ROAD	SEABROOK	HARRIS	TX	77586						0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2		0		0	0	0	0	0		0	0	0	0	0	0	1356254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6/20/2005	6/30/2005	MICHAEL J GAUDET JR	2812913418	MGAUDET@LBCHOUSTON.COM	2812913428
Y	N	2004	20040428	505	PETROLEUM & REFINED PRODUCTS	31933	CALCASIEU REFINING COMPANY		4359 W TANK FARM ROAD	LAKE CHARLES	CALCASIEU	LA	70605						0	0	0	5.4	0	5.4	0	0	0	0	0	0	5.4	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	 	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	4.4	0	5.4	0	0	0	0	0	0		7/5/2005	7/7/2005	"TONI BENNETT, TECH/ENV/SAFETY SUPT"	3374783636	TONIB@CALCASIEUREFINING.COM	3374742505
Y	N	2004	20040128	159	HVLS	31304	DEVON GAS SERVICES LP	DEVON ENERGY CORPORATION	20 NORTH BROADWAY ST	OKLAHOMA CITY	OKLAHOMA	OK	73102						0	0	0	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0		15		0	0	0	0	0		0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6/13/2005	6/13/2005	R. GLENN SMITH	4052288373	GLENN.SMITH@DVN.COM	4052288372
Y	N	2004	20040142	174	PETROLEUM & REFINED PRODUCTS	31130	"DUKE ENERGY FIELD SERVICES, LP"		7202 COUNTY ROAD 16	BISHOP	NUECES	TX	78343	370 17TH. STREET SUITE 2500	DENVER	DENVER	CO	80202	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	4		0		0	0	0	0	0		0	0	0	0	0	0	0	0	260068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6/13/2005	6/13/2005	CINDY LOPEZ	3615848518	CALOPEZ@DUKE-ENERGY.COM	3615843487
Y	N	2004	20040271	332	PETROLEUM & REFINED PRODUCTS	26045	TESORO HAWAII CORPORATION 		"1225 17TH STREET SUITE 1800, TESORO REFINING & MARKETING CO"	DENVER	DENVER	CO	80202						0	0	0	24.37	0	24.37	0	0	0	0	0	0	24.37	0	24.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.88	21.98	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31	23.06	0	0	0	24.37	0	0	0	0	12.1	0	0	0	12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1	0	0	0	12.1	0	23.77	0	0.6	 	0		2	0	0	0	2		0	0	0	0	0	0	0	0	268071519	0	0	1.85	1.85	0	0	3.7	7	60	0	2	19	0	0	0	0	0	0	0	0	0	3.7	60	0	0	1.85	0	0	0	0		6/14/2005	6/20/2005	SHERRI ZELLER-ENVIRONMENTAL COMPLIANCE SPECIALIST	7202580585	SZELLER@TSOCORP.COM	7202580559
Y	N	2004	20040280	341	HVLS	31470	VECTREN ENERGY DELIVERY OF OHIO 	VECTREN CORPORATION	1300 EXPERIMENT FARM ROAD	TROY 	MIAMI	OH	45373	ONE VETREN SQUARE	EVANSVILLE	VANDERBURGH	IN	47708	0	0	0	24	0	24	0	0	0	0	0	0	24	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	16	0	0	16	0	0	0	0	0	16	0	24	0	0		0		0	0	0	0	0		0	0	0	0	0	0	2607	0	0	0	0	16	16	0	0	32	2	1	1	1	1	0	0	0	0	0	0	0	0	0	32	1	0	0	16	0	0	0	0		6/13/2005	6/20/2005	"RICK L SLAGLE, MANAGER ENGINEERING SERVICES"	8124914611	RSLAGLE@VECTREN.COM	8124914504
Y	N	2004	20040444	546	PETROLEUM & REFINED PRODUCTS	19319	TEXAS PETROCHEMICALS LP		8600 PARK PLACE BLVD	HOUSTON	HARRIS	TX	77017						0	0	0	5	0	5	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0		0		0	0	0	0	0		0	0	0	0	0	0	0	0	9986000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8/22/2005	8/22/2005	MICHAEL MCNAMARA	7134757434	MMCNAMARA@TXPETROCEM.COM	7134757707
Y	N	2004	20040448	550	CRUDE OIL	30869	"WAMSUTTER PIPELINE, INC."	ANADARKO PETROLEUM CORP.	2083 WESTGATE	ROCKSPRINGS	SWEETWATER	WY	82901	1201 LAKE ROBBINS DR.	THE WOODLANDS	MONTGOMERY	TX	77380	0	0	0	59	0	59	0	0	0	0	0	0	30	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	29	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	16	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	43	16	0	0	0	59	0	0	0	43	16	0	0	0	59	0	59	0	0	N	59		0	1	0	0	1		0	0	0	0	0	39572893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	59	0	0	59	0	0	0	0	0		6/20/2005	8/26/2005	"ROBERT S. FLANSBURG, MEASUREMENT FOREMAN"	3073629642	BOB_FLANSBURG@ANADARKO.COM	8326360505
Y	N	2004	20040289	350	CRUDE OIL	31742	THE PREMCOR PIPELINE CO	"THE PREMCOR REFINING GROUP, INC"	1700 E PUTNAM AVENUE	OLD GREENWICH	FAIRFIELD	CT	06870						0	0	0	52	0	52	0	0	0	0	0	0	48	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	27	6	52	0	0	0	0	0	19	27	6	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	27	6	52	0	52	0	0		0	CRUDE OIL	0	0	0	3	3		0	0	0	0	0	1685064645	0	0	0	0	0	5	5	0	0	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10	2	14	0	5	0	0	0	0		6/15/2005	6/21/2005	"HENRY P CARTAYA, ENERGISTIX INC PRESIDENT"	2813620300	HCARTAYA@ENERGISTIXINC.COM	2813620310
Y	N	2004	20040290	351	PETROLEUM & REFINED PRODUCTS	31742	THE PREMCOR PIPELINE CO	THE PREMCOR REFINING GROUP INC	1700 E PUTNAM AVENUE	OLD GREENWICH	FAIRFIELD	CT	06870						0	0	0	43	0	43	0	0	0	0	0	0	43	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	7	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	34	0	8	43	0	0	0	0	0	34	0	8	42	0	0	1	0	0	0	0	0	1	0	0	1	0	0	34	0	8	43	0	43	0	0	 	0	GASOLINE	0	1	0	1	2	#2 FUEL OIL	0	1	0	0	1	0	0	0	310502197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	11	0	0	0	0	0		6/15/2005	6/21/2005	"HENRY P CARTAYA, ENERGISTIX, INC, PRESIDENT"	2813620300	HCARTAYA@ENERGISTIXINC.COM	2813620310
