ORIGINAL	SUPPLEMENT	YR	RPTID	HL_SUP_ID	SYSTEM_TYPE	OPERATOR_ID	NAME	PARENT	OFSTREET	OFCITY	OFCOUNTY	OFSTATE	OFZIP	HQSTREET	HQCITY	HQCOUNTY	HQSTATE	HQZIP	CPBMT	CPBOFFM	CPBONM	CPCMT	CPCOFFM	CPCONM	CUBOFFM	CUBONM	CUCMT	CUCOFFM	CUCONM	CUPMT	HCAMT	HCAOFFM	HCAONM	STOFFM_1	STOFFM_2	STOFFM_3	STOFFM_4	STOFFM_5	STOFFM_6	STOFFM_7	STOFFM_8	STOFFM_9	STOFFM_10	STOFFM_11	STOFFM_12	STOFFM_13	STOFFM_14	STOFFM_15	STOFFM_16	STOFFM_17	STOFFM_18	STONM_1	STONM_2	STONM_3	STONM_4	STONM_5	STONM_6	STONM_7	STONM_8	STONM_9	STONM_10	STONM_11	STONM_12	STONM_13	STONM_14	STONM_15	STONM_16	STONM_17	STONM_18	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTM_10	DINSTMT	ERWHM_1	ERWHM_2	ERWHM_3	ERWHM_4	ERWHM_5	ERWHM_6	ERWHM_7	ERWHM_8	ERWHMT	ERWLM_1	ERWLM_2	ERWLM_3	ERWLM_4	ERWLM_5	ERWLM_6	ERWLM_7	ERWLM_8	ERWLMT	ERWTM_1	ERWTM_2	ERWTM_3	ERWTM_4	ERWTM_5	ERWTM_6	ERWTM_7	ERWTM_8	ERWTMT	YSGOFFM	YSGONM	YSLOFFM	YSLONM	BTNPMS	REGGATHM	BT1COM	BT1NUM1	BT1NUM2	BT1NUM3	BT1NUM4	BT1NUMT	BT2COM	BT2NUM1	BT2NUM2	BT2NUM3	BT2NUM4	BT2NUMT	VTM_1	VTM_2	VTM_3	VTM_4	VTM_5	VTM_6	II1_1	II1_2	II1_3	II1_4	II1_T	II2_1	II2_2	II2_3	II2_4	II2_5	II3_1	II3_2	II3_3	II3_4	II4_1	II4_2	II4_3	II4_4	II4_5	II5_1	II5_2	BA_1	BA_2	BA_3	BA_4	BA_5	BA_6	BA_7	BA_8	DOR	DOE	PNAME	PPHONE	PEMAIL	PFAX
Y	N	2008	20080387	5194	PETROLEUM & REFINED PRODUCTS	12624	MOBIL CORP		"800 BELL STREET, ROOM 623F"	HOUSTON	HARRIS	TX	77002						0	0	0	32	0	32	0	0	0	0	0	0	31	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	20	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	0	0	2	32	0	0	0	0	24	0	0	2	26	0	0	0	6	0	0	0	0	6	0	0	0	6	24	0	0	2	32	0	32	0	0	N	0	"REFINED PRODUCTS, OPERATED BY BEAUMONT REFINERY"	0	4	4	5	13		0	0	0	0	0	0	0	0	115925215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	25	0	0		6/15/2009	6/15/2009	THAD MASSENGALE	7136562258	THAD.MASSENGALE@EXXONMOBIL.COM	7136568232
Y	N	2008	20080247	5019	CO2 OR OTHER	31875	MERIT ENERGY COMPANY		400 NORTH INDUSTRIAL BLVD.	LINDSAY	GARVIN	OK	73052	"13727 NOEL ROAD, SUITE 500"	DALLAS	DALLAS	TX	75240	0	0	0	118	0	118	0	0	0	0	0	0	41.7	0	41.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	118	0	0	0	0	0	118	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	118	0	118	0	0	N	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	250673058	250673058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.7	0	0	0		6/10/2009	6/10/2009	BILL ELLSWORTH	3073282345	RICKY.WELCHER@MERITENERGY.COM	
Y	N	2008	20080392	5199	CRUDE OIL	31174	"SHELL PIPELINE CO., L.P."		777 WALKER STREET	HOUSTON	HARRIS	TX	77002						0	0	0	3888	1534	2354	0	0	0	0	0	0	1308	39	1269	0	49	102	0	443	93	184	164	359	13	127	0	0	0	0	0	0	0	11	41	143	179	159	117	155	53	437	251	131	0	0	4	0	0	39	634	0	0	13	277	397	1252	405	389	916	239	3888	0	0	0	166	57	200	206	82	711	0	59	100	12	7	0	0	0	178	0	59	100	178	64	200	206	82	889	1534	2350	0	4	N	0		0	0	0	0	0		0	0	0	0	0	2.08298E+11	0	0	0	0	0	1149	907	105	0	2161	43	49	3	0	31	0	0	0	0	0	0	0	0	0	2161	49	149	589	117	260	120	69	4		6/12/2009	6/15/2009	"SHAWN HANSSON, ASSET INTEGRITY ENGINEER"	7132413489	SHAWN.HANSSON@SHELL.COM	7132410366
Y	N	2008	20080104	4603	HVLS	32129	OKLAHOMA GAS PROCESSING	CIMAREX ENERGY CO OF COLORADO	ROUTE 2 BOX 162AA	ELMORE CITY	GARVIN	OK	73433	1700 LINCOLN STREET	DENVER		CO	80203	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	11	0	0	N	0		0	0	0	0	0		0	0	0	0	0	0	7670444.21	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0		4/21/2009	4/21/2009	JOEY WINNETT	5807882885	JWINNETT@CIMAREX.COM	5807882354
Y	N	2008	20080112	4642	PETROLEUM & REFINED PRODUCTS	31057	"HECO - HAWAIIAN ELECTRIC COMPANY, INC."		PO BOX 2750	HONOLULU	HONOLULU	HI	96840						0	0	0	1.13	0	1.13	0	0	0	0	0	0	1.13	0	1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0.03	1.13	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	1.1	0	0	0	1.1	0	0	0	0	1.1	0	0	0	1.13	N	0	LOW SULFUR FUEL OIL	0	1	0	0	1	DIESEL	3	0	0	0	3	0	0	0	300394	0	0	0	0	0	0	0	8	8	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1.13	0	0	0		4/27/2009	4/30/2009	"FLOYD SHIROMA, DIRECTOR, FUELS INFRASTRUCTURE DIVISION"	8085434353	FLOYD.SHIROMA@HECO.COM	8085434353
Y	N	2008	20080118	4662	HVLS	20160	"PETROLOGISTICS OLEFINS, LLC"		"4460 BLUEBONNET BLVD., SUITE B"	BATON ROUGE	EAST BATON ROUGE	LA	70809	"909 FANNIN, SUITE 2630"	HOUSTON	HARRIS	TX	77010	0	0	0	384.38	0	384.38	0	0	0	0	0	0	135.83	0	135.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.73	151.41	95.77	89.64	31.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314.93	0	0	25.35	44.1	384.38	0	0	0	314.93	0	0	25.35	44.1	384.38	0	0	0	0	0	0	0	0	0	0	0	0	314.93	0	0	25.35	44.1	384.38	0	384.38	0	0	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130643	0	0	0	0	102.85	102.85	0	0	205.7	8	3	2	0	6	0.38	0	0	0	0	0	0	0	0	206.08	3	21.9	99.5	110.8	31.8	6	65	0		5/1/2009	5/1/2009	PATRICK BARDWELL	2257067683	PBARDWELL@PETROLOGISTICS.COM	2257067050
Y	N	2008	20080266	5040	CRUDE OIL	2731	CHEVRON PIPE LINE CO		4800 FOURNACE PLACE	BELLAIRE	HARRIS	TX	77401						0	0	0	1884.36	1040.08	844.28	0	0	0	0	0	0	506.13	108.93	397.2	62.4	189.43	150.85	165.2	120.67	131.68	7.07	0	212.78	0	0	0	0	0	0	0	0	0	15.16	58.44	28.13	403.29	44.61	12	60.82	168.02	53.8	0	0	0	0	0	0	0	0	0	41.35	27.54	0	152.5	446.7	381.83	306.27	505.91	22.26	0	1884.36	751.36	0	0	0	186	180	15	0	1132.36	68	128	333	223	0	0	0	0	752	819.36	128	333	223	186	180	15	0	1884.36	1040.08	838.53	0	5.75	N	85.93	CRUDE OIL	17	16	3	9	45	N/A	0	0	0	0	0	8823186584	0	0	0	0	0	246.95	246.95	0	0	493.9	7	7	2	13	0	44.01	0	1	1	0	0	0	0	0	537.91	8	226.15	197.31	64.67	28.85	24.72	49.87	41.15		6/10/2009	6/10/2009	"J. R. BURKE, PIPELINE SAFETY SPECIALIST"	7134323206	RBURKE@CHEVRON.COM	7134323477
Y	N	2008	20080411	5218	HVLS	26065	NATIONAL COOP REFINERY ASSCO		2000 S. MAIN	MCPHERSON	MCPHERSON	KS	67460						0	0	0	12.76	0	12.76	0	0	0	0	0	0	5.18	0	5.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.76	0	0	0	0	0	12.76	0	0	0	0	0	0	0	0	0	0	0	4.76	0	0	0	0	0	4.76	0	0	4.76	0	0	0	0	0	4.76	0	0	0	12.76	Y	0		0	0	0	0	0		0	0	0	0	0	0	13984268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13	0	0		6/15/2009	6/15/2009	MARK GRAVES	6202419232	MGRAVES@JAYHAWKPL.COM	6202419215
Y	N	2008	20080127	4704	CRUDE OIL	30834	TIDELANDS OIL PRODUCTION COMPANY		301 EAST OCEAN BLVD	LONG BEACH	LOS ANGELES	CA	90801						0	0	0	2.289	0	2.289	0	0	0	0	0	0	2.289	0	2.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.634	0.655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	0.712	0.174	0	0.383	0.585	0.159	2.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.537	0	0.752	N	2.289		0	0	0	0	0		0	0	0	0	0	2884407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.289	0	0.906	0	0	1.189	0		5/6/2009	5/6/2009	"JAMES H. WILLS, STAFF FACILITIES ENGINEER"	5624959314	JIM_WILLS@OXY.COM	5624951950
Y	N	2008	20080276	5052	PETROLEUM & REFINED PRODUCTS	26125	CALNEV PIPELINE CO		1100 W. TOWN AND COUNTRY RD.	ORANGE	ORANGE	CA	92868	"500 DALLAS, SUITE 1000"	HOUSTON	HARRIS	TX	77002	0	0	0	569.9	0	569.9	0	0	0	0	0	0	398	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45	54.66	252.46	3.27	6.64	247.8	1	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498.3	2.63	54.08	3.1	11.88	569.99	0	0	0	1.19	2.36	54.08	3.1	11.69	72.42	0	0	0	495.5	0	0	0	0	495.5	0	0	0	496.69	2.36	54.08	3.1	11.69	567.92	0	564.71	0	5.19	N	0	REFINE PRODUCTS	23	8	1	0	32		0	0	0	0	0	0	0	0	10804383625	0	0	1	88	0	0	89	11	2	0	1	0	1	0	0	0	0	0	0	0	0	90	2	94	150	164	2	0	5	83		6/11/2009	6/11/2009	YVETTE ABRAHAM	7133699513	YVETTE_ABRAHAM@KINDERMORGAN.COM	7133699513
