ORIGINAL	SUPPLEMENT	YR	RPTID	HL_SUP_ID	SYSTEM_TYPE	OPERATOR_ID	NAME	PARENT	OFSTREET	OFCITY	OFCOUNTY	OFSTATE	OFZIP	HQSTREET	HQCITY	HQCOUNTY	HQSTATE	HQZIP	CPBMT	CPBOFFM	CPBONM	CPCMT	CPCOFFM	CPCONM	CUBOFFM	CUBONM	CUCMT	CUCOFFM	CUCONM	CUPMT	HCAMT	HCAOFFM	HCAONM	STOFFM_1	STOFFM_2	STOFFM_3	STOFFM_4	STOFFM_5	STOFFM_6	STOFFM_7	STOFFM_8	STOFFM_9	STOFFM_10	STOFFM_11	STOFFM_12	STOFFM_13	STOFFM_14	STOFFM_15	STOFFM_16	STOFFM_17	STOFFM_18	STONM_1	STONM_2	STONM_3	STONM_4	STONM_5	STONM_6	STONM_7	STONM_8	STONM_9	STONM_10	STONM_11	STONM_12	STONM_13	STONM_14	STONM_15	STONM_16	STONM_17	STONM_18	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTM_10	DINSTMT	ERWHM_1	ERWHM_2	ERWHM_3	ERWHM_4	ERWHM_5	ERWHM_6	ERWHM_7	ERWHM_8	ERWHMT	ERWLM_1	ERWLM_2	ERWLM_3	ERWLM_4	ERWLM_5	ERWLM_6	ERWLM_7	ERWLM_8	ERWLMT	ERWTM_1	ERWTM_2	ERWTM_3	ERWTM_4	ERWTM_5	ERWTM_6	ERWTM_7	ERWTM_8	ERWTMT	YSGOFFM	YSGONM	YSLOFFM	YSLONM	BTNPMS	REGGATHM	BT1COM	BT1NUM1	BT1NUM2	BT1NUM3	BT1NUM4	BT1NUMT	BT2COM	BT2NUM1	BT2NUM2	BT2NUM3	BT2NUM4	BT2NUMT	VTM_1	VTM_2	VTM_3	VTM_4	VTM_5	VTM_6	II1_1	II1_2	II1_3	II1_4	II1_T	II2_1	II2_2	II2_3	II2_4	II2_5	II3_1	II3_2	II3_3	II3_4	II4_1	II4_2	II4_3	II4_4	II4_5	II5_1	II5_2	BA_1	BA_2	BA_3	BA_4	BA_5	BA_6	BA_7	BA_8	DOR	DOE	PNAME	PPHONE	PEMAIL	PFAX
Y	N	2006	20060250	2507	PETROLEUM & REFINED PRODUCTS	15674	PLANTATION PIPE LINE COMPANY		"1100 ALDERMAN DRIVE, SUITE 200"	ALPHARETTA	FULTON	GA	30005	"500 DALLAS, SUITE 1000"	HOUSTON	HARRIS	TX	77002	0	0	0	3138.02	0	3138.02	0	0	0	0	0	0	2151.6	0	2151.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.46	576.54	14.36	536.05	540.39	0	759.14	0	0	0	358.88	0	308.25	0	0	0	0	0	0	0	361.26	1116.96	959.88	639.21	46.47	13.08	1.16	3138.02	0	0	0	313	353	45.91	13.08	1.16	726.15	0	0	0	95	0	0	0	0	95	0	0	0	408	353	45.91	13.08	1.16	821.15	0	3111.8	0	26.22		0	REFINED PRODUCTS	95	94	24	0	213		0	0	0	0	0	0	0	0	1.18914E+11	0	0	328	545	0	0	873	483	373	7	13	10	0	0	0	0	0	0	0	0	0	873	373	531	244	585	303	167	0	0		6/14/2007	6/14/2007	DANIELLE STEPHENS	7133698016	BUZZ_FANT@KINDERMORGAN.COM	7134952713
Y	N	2006	20060251	2508	PETROLEUM & REFINED PRODUCTS	26041	"KINDER MORGAN LIQUIDS TERMINALS, LLC"		920 STATE ST.	PERTH AMBOY	MIDDLESEX	NJ	08862	"500 DALLAS STREET, SUITE 1000"	HOUSTON	HARRIS	TX	77002	0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0		0	PETROLEUM PRODUCTS	1	3	7	1	12		0	0	0	0	0	0	0	0	2750362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0		6/14/2007	6/14/2007	NATHAN LANE	7325415161	NATHAN_LANE@KINDERMORGAN.COM	7325412869
N	Y	2006	20060120	2359	HVLS	31919	"INERGY PROPANE, LLC"		9224 TUPMAN ROAD    P.O. BOX 430	TUPMAN	KERN	CA	93276	"TWO BRUSH CREEK BLVD, SUITE 200"	KANSAS CITY		MO	64112	0	0	0	18	0	18	0	0	0	0	0	0	16.5	0	16.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	18	0	0		0	PROPANE	7	0	0	0	7		0	0	0	0	0	0	1740172	0	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	18	0	0	0	0	0	0		6/4/2007	6/6/2007	KENNETH MALTBY	6617654087	KMALTBY@INERGYSERVICES.COM	6617651152
Y	N	2006	20060132	2362	PETROLEUM & REFINED PRODUCTS	30765	TESORO LOS ANGELES REFINERY		2101 EAST PACIFIC COAST HWY	WILMINGTON	LOS ANGELES	CA	90744						0	0	0	6.95	0	6.95	0	0	0	0	0	0	6.95	0	6.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18	0	0	1.59	1.59	0	0	0	1.59	0	0	0	0	0	0	0	0	0	0	0	0	6.95	0	0	0	0	6.95	0	0	0	0	0	0	0	0	0	0	0	0	6.95	0	0	0	0	6.95	0	0	0	6.95	0	0	0	0	6.95	0	2.18	0	4.77		2.18		0	0	0	0	0		0	0	0	0	0	6400	0	0	6285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95	0	0	0		6/6/2007	6/6/2007	LORI MENKE	3105226234	LMENKE@TSOCORP.COM	3105226484
Y	N	2006	20060264	2521	PETROLEUM & REFINED PRODUCTS	31056	AIRCRAFT SERVICE INTERNATIONAL GROUP	BBA AVIATION SERVICES GROUP	3201 AOLELE STREET	HONOLULU	HONOLULU	HI	96819	201 S. ORANGE AVE SUITE 1100A	ORLANDO		FL	32801	0	0	0	6	0	6	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	6	0	0	0	3	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	5	0	0	0	6	Y	0	JET FUEL >100F	3	12	1	0	16		0	0	0	0	0	0	0	0	25984524	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0		6/14/2007	6/14/2007	DON GRIMES	8082263981	DON.GRIMES@ASIG.COM	8088333295
N	Y	2006	20060048	2371	HVLS	31256	GAS SOLUTIONS II LTD		3407 CAMP SWITCH RD	LONGVIEW	GREGG	TX	75604						0	0	0	38	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	23	38	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	23	38	0	0	0	15	0	0	0	23	38	0	38	0	0	 	0		0	0	0	0	0		0	0	0	0	0	0	40919046	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	38	0	15	0	0	23	0	0	0		3/26/2007	6/7/2007	MICHAEL K. ALLEN	9037592422	MALLEN@GASSOLUTIONS.BIZ	9037592422
Y	N	2006	20060141	2377	PETROLEUM & REFINED PRODUCTS	7063	HARBOR PIPELINE	OPERATED BY SUNOCO PIPELINE L.P.	1824 HORSESHOE PIKE	HONEY BROOK	CHESTER	PA	19344-8500	MELLON BANK CENTER / 29TH FLOOR	PHILADELPHIA	PHILADELPHIA	PA	19103-1699	0	0	0	80.22	0	80.22	0	0	0	0	0	0	76.65	0	76.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.22	0	0	0	0	0	80.22	0	0	0	0	0	0	0	0	0	0	0	80.22	0	0	0	0	0	80.22	0	0	80.22	0	0	0	0	0	80.22	0	80.22	0	0	N	0		0	0	0	0	0		0	0	0	0	0	0	0	0	2661799394	0	0	80.22	80.22	80.22	0	240.66	8	3	1	0	0	0	0	0	0	0	0	0	0	0	240.66	3	80.22	0	0	0	0	0	0		6/7/2007	6/7/2007	DAVID B. MEADOWS	6109421924	DBMEADOWS@SUNOCOLOGISTICS.COM	6109421910
Y	N	2006	20060142	2378	CRUDE OIL	5524	FOUR STAR OIL & GAS CO. 		501 SOUTH LOOP 338 EAST	ODESSA	ECTOR	TX	79762						0	0	0	9.4	0	9.4	0	0	0	0	0	0	9.4	0	9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4	0	0	0	0	0	9.4	0	0	9.4	0	0	0	0	0	9.4	0	0	0	0	0	0	0	0	0	0	0	9.4	0	0	0	0	0	9.4	0	0	0	9.4		9.4	0	0	0	0	0	0	0	0	0	0	0	0	117895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4	0	0	0	0	0	0	0	0	9.4	0	9.4	0	0	0	0	0	0		6/8/2007	6/8/2007	MARTIN HARRISON	4326877358	HARRIML2@CHEVRON.COM	4326877358
Y	N	2006	20060158	2395	HVLS	2731	CHEVRON PIPE LINE COMPANY		4800 FOURNACE PLACE	BELLAIRE	HARRIS	TX	77401						221	0	221	3369	0	3369	0	0	0	0	0	0	852	0	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	721	942	1056	119	409	0	0	25	0	0	0	0	0	0	0	0	0	0	0	1	232	629	1074	1098	337	196	23	3590	0	0	0	0	1013	334	196	23	1566	1	0	629	898	0	0	0	0	1528	1	0	629	898	1013	334	196	23	3094	0	3590	0	0		0	HVL	0	0	0	0	0		0	0	0	0	0	0	33358432024	0	0	0	0	273	320	0	0	593	237	233	18	1	5	59	0	1	1	0	0	0	0	0	652	234	166	121	69	167	118	0	0		6/8/2007	6/8/2007	J. R. BURKE	7134323206	RBURKE@CHEVRON.COM	7134323477
Y	N	2006	20060160	2397	CO2 OR OTHER	2731	CHEVRON PIPE LINE COMPANY		4800 FOURNACE PLACE	BELLAIRE	HARRIS	TX	77401						0	0	0	129	0	129	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0		0	CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320774468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6/8/2007	6/8/2007	J. R. BURKE	7134323206	RBURKE@CHEVRON.COM	7134323477
Y	N	2006	20060018	1861	HVLS	2162	DOW PIPELINE COMPANY	"THE DOW CHEMICAL COMPANY, INCORPORATED"	P.O. BOX 186	PORT LAVACA	CALHOUN	TX	77979	1000 CR 340	ANGLETON	BRAZORIA	TX	77515	0	0	0	249	0	249	0	0	0	0	0	0	130	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	249	0	0	0	0	249	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	249	0	249	0	0		0		0	0	0	0	0		0	0	0	0	0	0	2696296854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	34	0	0	0	0		2/2/2007	2/2/2007	J. J. WALTHALL	3615533163	WALTHAJJ@DOW.COM	3615533311
Y	N	2006	20060020	1863	PETROLEUM & REFINED PRODUCTS	3535	DOW PIPELINE COMPANY	"THE DOW CHEMICAL COMPANY, INCORPORATED"	P.O. BOX 186	PORT LAVACA	CALHOUN	TX	77979	1000 CR 340	ANGLETON	BRAZORIA	TX	77515	0	0	0	28	0	28	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	28	0	0	0	0	28	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	28	0	28	0	0		0		0	0	0	0	0		0	0	0	0	0	0	0	0	352485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0		2/5/2007	2/5/2007	J. J. WALTHALL	3615533163	WALTHAJJ@DOW.COM	3615533311
Y	N	2006	20060032	1945	CRUDE OIL	20202	ULTRAMAR INC.	VALERO ENERGY CORP.	2402 E ANAHEIM ST	WILMINGTON	LOS ANGELES	CA	90744	ONE VALERO WAY	SAN ANTONIO		TX	78249-1616	0	0	0	8.79	0	8.79	0	0	0	0	0	0	8.79	0	8.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	2.82	0.89	4.5	0	0.2	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	7.58	1.18	0.03	0	8.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79		0	NONE	0	0	0	0	0		0	0	0	0	0	8.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79	0	0	0	0	0	0	0	0	8.79	0	8.79	0	0	0	1.27	0	0		3/6/2007	3/6/2007	BRIAN SARTY	5624916753	BRIAN.SARTY@VALERO.COM	5624955487
