YR	RPTID	NAME	OPERATOR_ID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	OM	OS	TM	TS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOR	DOE		
2002	20020001	JAY UTILITIES AUTH	9170											OK	0	0	0	36	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	14	9	13	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	13	0	0	0	36	0	0	923	108	47	0	0	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	108	47	0	0	1078	0	1	0	0	0	0	0	0	0	11	0	0	0	0	8		PATSY J. HUGHES	9182538542	1/3/2003	1/16/2003		
2002	20020002	CITY OF WAHOO 	31363											NE	3	0	0	12	16	1	0	0	1	0	33	39	206	0	559	1040	0	0	32	85	0	1961	0	11	2	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	11	5	1	0	0	17	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	3	0	0	34	75	0	497	22	5	0	0	524	0	0	0	0	0	0	0	0	32	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	44	4	0	0	1061	0	85	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	66	9	0	0	1702	1	1	0	0	3	2	0	0	0	31	0	0	13	0		UNACCOUNTED FOR GAS -18%	BRIAN C MURPHY	4024431558	1/3/2003	1/16/2003		
2002	20020003	NEW ALBANY GAS SYSTEM	13226	PO DRAWER 727	NEW ALBANY	UNION	MS	38652						MS	0	0	0	96	208	0	0	0	0	0	304	0	0	0	2553	3429	0	0	0	0	0	5982	0	28	31	37	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	96	8	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	127	45	0	0	304	100	0	2523	30	0	0	0	2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3371	58	0	0	0	3429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5894	88	0	0	0	5982	0	0	0	0	3	22	0	0	0	0	0	8	0	0	0.008		HAROLD SMITH	6015341041	1/28/2002	2/4/2003		
2002	20020004	ISLAND ENERGY	31097	"PO BOX 2001, 440 WALNUT A"	MARE ISLAND	SOLANO	CA	-4601						CA	0	0	0	3	15	0	0	0	0	0	18	0	0	0	0	164	0	0	0	0	0	164	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	1	2	0	18	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	69	3	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	69	3	0	0	164	0	0	0	0	0	0	0	5	2	0	0	0	2	7	1		WILLIAM PLUMMER	7075625000	1/8/2003	1/16/2003		
2002	20020005	"GOODHUE MUNICIPAL GAS, CITY OF"	30961	106 SECOND STREET	GOODHUE	GOODHUE	MN	55027-    						MN	0	0	0	7	11	0	0	0	0	0	18	0	0	0	0	390	0	0	0	0	0	390	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	18	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	3	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	3	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		VAUGHN BIEN	6519235306	12/30/2002	1/16/2003		
2002	20020006	"SUMMERVILLE GAS SYSTEM, CITY OF"	18712	P.O. BOX 180	SUMMERVILLE	CHATTOOGA	GA	30747						GA	0	2	0	141	85	0	0	0	0	0	228	0	0	33	1059	4995	0	0	0	0	0	6087	0	82	19	33	9	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	19	33	9	0	228	100	0	1031	32	4	0	0	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4986	17	0	0	0	5003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6017	49	4	0	0	6070	0	0	0	0	7	7	0	0	0	0	4	38	4	0	0	NUMBER OF CATHODICALLY PROTECTED BARE SERVICES WAS INCREASED THIS YEAR.  AFTER FEVIEWING INITIAL CP SURVEYS AND COMPARING THEM TO INSERT RECORDS WE DISCOVERED THAT THE INSERT CREWS HAD MISSED SOME SERVICE LOCATIONS WHICH REQUIRED INSERTING.  THESE SERVICES HAVE BEEN SCHEDULED FOR INSERTION.	JEFF BAGGETT	7068570900	1/9/2003	1/16/2003		
2002	20020007	AURORA GAS CO	885	7035 BLACK RIVER ROAD	ONAWAY	CHEBOYGAN	MI	-9769						MI	0	0	0	17	192	0	0	0	0	0	209	0	0	0	0	2693	0	0	0	0	0	2693	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	75	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	92	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2690	2	1	0	0	2693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2690	2	1	0	0	2693	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0		SUSAN NELSON- OFFICE MANAGER	5177336625	1/17/2003	1/29/2003		
2002	20020008	HUTCHINSON UTILITIES COMMISSION	7695	225 MICHIGAN STREET 	HUTCHINSON	MCLEOD	MN	55350						MN	0	0	0	58	31	0	0	0	0	0	89	0	0	0	3273	1561	0	0	0	0	0	4834	0	34	14	7	3	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	27	8	3	0	89	87	0	3228	41	3	1	0	3273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1524	35	2	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4752	76	5	1	0	4834	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0.009		JOHN WEBSTER	3205874746	1/13/2003	1/29/2003		
2002	20020009	WATERTOWN MUNICIPAL GAS DEPT	22231	901 FOURTH AVE S.W.	WATERTOWN	CODINGTON	SD	57201						SD	0	0	0	182	25	0	0	0	0	0	207	0	0	0	7565	1479	0	0	0	0	0	9044	0	90	76	13	3	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	77	13	3	0	207	100	0	4812	2743	7	3	0	7565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1460	19	0	0	0	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6272	2762	7	3	0	9044	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0		ROBERT MAGSTADT - GAS SUPERINTENDENT	6058826233	1/22/2003	1/29/2003		
2002	20020010	"RANDALL, CITY OF"	30893	"PO BOX 229, 501 PACIFIC "	RANDALL	MORRISON	MN	56475						MN	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	245	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	11	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.04 IS LISTED FOR COATED STEEL PIPE.  WE HAVE TWO SHORT SECTIONS UNDER THE RAILROAD CROSSINGS.	GERALD PETERSCHIK	3207492159	1/22/2003	1/29/2003		
