RPTID	YR        	LOG       	NAME      	OPID      	STADD     	CITY      	COUNT     	ST        	ZIP       	HSTAD     	HCITY     	HCNTY     	HST       	HZIP      	STOP      	B1M_1     	B1M_2     	B1M_3     	B1M_4     	B1M_5     	B1M_6     	B1M_7     	B1M_8     	B1M_9     	B1M_10    	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1       Integer	DIM_2       Integer	DIM_3       Integer	DIM_4       Integer	DIM_5       Integer	DIM_6       Integer	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1       Integer	DIS_2       Integer	DIS_3       Integer	DIS_4       Integer	DIS_5       Integer	DIS_6       Integer	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM1	CS1	TM1	TS1	OM1	OS1	CDM1	CDS1	MDM1	MDS1	OTHM1	OTHS1	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC
19940152	94	152	CENEX PROPANE PLANT                               	30644	S. HWY 15 - P.O. BOX 564                	MILBANK                  	                         	SD	57252	1717 S. BOULDER P.O. BOX 1628           	TULSA                    	                         	OK	74121	SD                                      	0	2	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	5	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	" THIS PIPING SYSTEM IS LOCATED IN THE MILBANK MOBILE HOME COURT, MILBANK,S.DAK. 57252 AND IS SERVICED BY 9 - 1000 GALLON TANKS.  THERE IS NO CATHODEPROTECTION FOR THE PIPING.  EACH USER AND THE TANKS ARE SEPARATED FROM THEPIPING SYSTEM BY DI-ELECTRIC UNIONS."	RICHARD C. MILLER                                           	6054329521	4/20/1995	4/18/1996
19940153	94	153	"HENDERSON GAS DEPT, CITY OF                       "	7215	127 S. FRANKLIN AVE                     	HENDERSON                	CHESTER                  	TN	38340	                                        	                         	                         	  	     	TN                                      	0	0	0	50	65	0	0	0	0	0	115	0	0	0	1591	1117	0	0	0	0	0	2708	0	28	7	15	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	16	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	23	15	0	0	115	100	0	1539	52	0	0	0	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	3	0	0	0	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2653	55	0	0	0	2708	2	3	0	12	0	0	2	4	0	41	0	1	1	0	0	 THE CITY OF HENDERSON INSTITUTED AN AGRESSIVE PROGRAM TO IDENTIFY AND REPAIRALL LEAKS IN OUR SYSTEM.  THE NUMBER REPORTED UNDER MATERIAL DEFECTS REFLECTSTHE RESULT OF OUR PROGRAM. THE MAJORITY OF THESE LEAKS WERE MINUTE SEE PAGESAROUND FITTINGS AND WERE REPAIRED AS SOON AS THE WERE DETECTED.	ROY W. HAYLEY - UTILITY DIRECTOR                            	9019893503	4/20/1995	
19940154	94	154	"OSAGE MUNICIPAL GAS UTILITY, TOWN OF              "	14380	"720 CHESTNUT ST., P.O. BOX 207          "	OSAGE                    	MITCHELL                 	IA	50461	                                        	                         	                         	  	     	IA                                      	0	0	0	32	0	0	0	0	0	0	32	0	0	0	1673	12	0	0	0	0	0	1685	0	29	3	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	3	0	0	0	32	80	0	1673	0	0	0	0	1673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1685	0	0	0	0	1685	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	 REPAIRED ONE LEAK ON WELD.	"JEFF SCHULTZ, GAS SUPERINTENDENT                            "	5157323731	4/20/1995	
19940155	94	155	PEOPLES NATURAL GAS                               	15359	1815 CAPITOL AVENUE                     	OMAHA                    	DOUGLAS                  	NE	68102	                                        	                         	                         	  	     	CO                                      	4	0	0	667	1139	0	0	0	0	0	1810	0	0	0	16471	12919	0	0	0	0	0	29390	0	529	92	50	0	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	19	0	0	0	571	1	491	74	2	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1572	185	52	0	0	1810	30	0	16232	236	3	0	0	16471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	3	0	0	0	170	16	12561	172	0	0	0	12749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	28960	411	3	0	0	29390	1	1	52	58	1	18	3	51	1	21	7	290	65	0	0		PATRICK H. MCGILVREY                                        	4022212720	4/20/1995	
19940156	94	156	WOODWORTH MUNICIPAL GAS DEPT                      	25049	PO BOX 228                              	WOODWORTH                	RAPIDES                  	LA	71485	                                        	                         	                         	  	     	LA                                      	0	0	0	21	0	0	0	0	3	0	24	0	0	0	237	0	0	0	0	31	0	268	0	11	10	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	28	0	0	234	3	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	3	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08		DAVID C. BUTLER  II/MAYOR                                   	3184421198	4/20/1995	
19940157	94	157	FORT HILL NATURAL GAS AUTH                        	5410	311 S. PENDLETON STREET                 	EASLEY                   	PICKENS                  	SC	29640	                                        	                         	                         	  	     	SC                                      	0	0	0	622	176	0	0	0	0	0	798	0	0	0	20186	5778	0	0	0	0	0	25964	0	329	116	144	33	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	7	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	123	144	33	0	798	129	0	20113	57	13	3	0	20186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5749	29	0	0	0	5778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25860	86	13	3	0	25962	6	25	0	0	1	68	0	29	0	0	3	0	0	0	1.1		ERIC K. THOMAS                                              	8038596375	4/20/1995	4/30/1996
19940158	94	158	DRAKESBORO NATURAL GAS CO                         	3538	"HIGHWAY 176,P.O. BOX 129                "	DRAKESBORO               	MUHLENBERG               	KY	42337	                                        	                         	                         	  	     	KY                                      	0	0	0	0	22	3	0	0	0	0	25	0	0	0	0	575	75	0	0	0	0	650	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	35	0	575	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	0	0	650	10	2	0	0	0	0	0	0	0	0	0	0	10	0	1		EDDIE BRAKE GAS SUPERINTENDENT                              	5024768986	4/20/1995	
19940159	94	159	"CARBON HILL GAS BOARD, CITY OF                    "	2088	"P.O. BOX 459, 2ND AVE                   "	CARBON HILL              	WALKER                   	AL	35549	                                        	                         	                         	  	     	AL                                      	0	0	0	31	0	0	0	0	0	0	31	0	0	0	594	216	0	0	0	0	0	810	0	5	26	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	0	31	100	0	533	61	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	61	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		SHELIAH S. CLARK                                            	2059249313	4/20/1995	
19940160	94	160	MOORESVILLE HOUSING AUTH                          	12775	1046 N MAIN ST                          	MOORESVILLE              	IREDELL                  	NC	28115	                                        	                         	                         	  	     	NC                                      	0	0	0	1	0	0	0	0	0	0	1	0	0	0	78	0	0	0	0	0	0	78	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	78	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	78	0	1	0	0	0	0	0	0	0	4	0	0	0	5	0		BUDDY SIGMON                                                	7046641659	4/20/1995	
19940161	94	161	PEOPLES NATURAL GAS                               	15359	1815 CAPITOL AVENUE                     	OMAHA                    	DOUGLAS                  	NE	68102	                                        	                         	                         	  	     	IA                                      	8	0	11	1499	761	10	0	0	0	0	2289	916	0	3522	66003	65612	0	0	91	0	0	136144	0	826	559	111	14	8	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	0	10	0	23	8	0	0	0	31	0	518	212	0	0	0	730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1369	781	114	17	8	2289	67	0	58120	12069	240	12	0	70441	0	0	0	0	0	0	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0	2804	46	0	0	0	2850	105	62034	601	22	0	0	62762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	123049	12716	262	12	0	136144	23	38	39	246	13	168	5	147	4	249	51	1314	54	0	70	 UNPROTECTED BARE STEEL SERVICE SHOWS A NET INCREASE OF 808 SERVICE OVER LASTYEAR DUE TO THE RE-CLASSIFICATION OF THOSE SERVICE.	PATRICK H. MCGILVREY                                        	4022212720	4/20/1995	2/1/1996
